Curva,Poco
TDEP,P_595
AHV,P_595
AHVT,P_595
ALPHA,P_595
AMPL,P_595
BHV,P_595
BHVT,P_595
BS,P_595
CALI,P_595
CS,P_595
DCAL,P_595
DDRX,P_595
DDRY,P_595
DDX,P_595
DDY,P_595
DFL,P_595
DFLF,P_595
DIAM,P_595
DLIM,P_595
DMR,P_595
DMY,P_595
DPE,P_595
DPHD,P_595
DPHI,P_595
DPHS,P_595
DQCAL,P_595
DQZER,P_595
DRCO,P_595
DRHO,P_595
DT,P_595
DT_RCV,P_595
DT_UNF,P_595
DT_XMT,P_595
DVARC,P_595
DXCO,P_595
DZB,P_595
DZM,P_595
ERROR,P_595
ETIME,P_595
FDSN,P_595
FNOISE,P_595
FSDL,P_595
GAIN_F,P_595
GAIN_N,P_595
GR,P_595
GRCO,P_595
GRU,P_595
HDCN,P_595
HDR,P_595
HDRS,P_595
HDX,P_595
HMCN,P_595
HMR,P_595
HMRS,P_595
HMX,P_595
HT24,P_595
HT30,P_595
HT40,P_595
HT60,P_595
HT90,P_595
ITT,P_595
ITTT,P_595
MINM,P_595
MMRK,P_595
MMRKT,P_595
MQCAL,P_595
MQZER,P_595
MRCO,P_595
MSGGAI,P_595
MSGRCV,P_595
MXCO,P_595
NDSN,P_595
NLIM,P_595
NNOISE,P_595
NPHD,P_595
NPHI,P_595
NPHS,P_595
NRAT,P_595
NSDL,P_595
PELC,P_595
PEU,P_595
PKCODE,P_595
QDT,P_595
QL,P_595
QPE,P_595
QS,P_595
RHOB,P_595
RXRT,P_595
SDSO,P_595
SDT2,P_595
SP,P_595
SPA,P_595
SPDCOR,P_595
SPHI,P_595
STEM,P_595
STUCK,P_595
TENS,P_595
TPRES,P_595
TT1,P_595
TT11,P_595
TT12,P_595
TT2,P_595
TT21,P_595
TT22,P_595
TTEMP,P_595
VRES,P_595
XFRAC,P_595
ZB,P_595
ZM,P_595
HMRS2,P_595
HDRS2,P_595
